Generated Answer,Extracted Choice
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's presentation with fever, headache, rash, joint pain, and thrombocytopenia is consistent with Dengue fever. The laboratory findings of leukopenia and thrombocytopenia support this diagnosis.
Answer: (B) Dengue fever",B
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's hypertension, hypokalemia, and metabolic alkalosis suggest primary hyperaldosteronism, which is characterized by aldosterone excess.
Answer: (A)",A
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's history of diethylstilbestrol exposure in utero increases the risk of clear cell adenocarcinoma of the vagina. This type of cancer is associated with maternal use of diethylstilbestrol during pregnancy.
Answer: (A)",A
"Explanation: We refer to Wikipedia articles on medicine for help. The characteristics described, including gram-positive cocci in clusters, resistance to dicloxacillin, and failure to improve with antibiotic therapy, suggest the ability to cleave β-lactam rings, which is a mechanism of resistance commonly seen in Staphylococcus aureus.
Answer: (B)",B
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's presentation is consistent with hepatic encephalopathy, which is characterized by confusion, asterixis, and liver dysfunction. The best initial test to confirm the diagnosis is elevated ammonia levels, not mentioned in the options. Hepatic encephalopathy is not a diagnosis of exclusion, can occur in patients with liver dysfunction, and EEG typically shows diffuse slowing rather than focal abnormalities.
Answer: None of the options provided are correct",o
"Explanation: We refer to Wikipedia articles on medicine for help. The symptoms and physical examination findings suggest adrenal insufficiency, specifically primary adrenal insufficiency or Addison's disease. The next best step in the management of this patient is to order an ACTH stimulation test to confirm the diagnosis.
Answer: (D)",D
"Explanation: We refer to Wikipedia articles on medicine for help. Given the patient's history of smoking, the painless lesion on the lower lip is most likely to be Squamous cell carcinoma, which is commonly associated with tobacco use.
Answer: (A)",A
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's symptoms are suggestive of fibromyalgia, which is commonly treated with Amitriptyline, a tricyclic antidepressant that can help with pain, fatigue, and sleep disturbances.
Answer: (C) Amitriptyline",C
"Explanation: We refer to Wikipedia articles on medicine for help. The left C5 hemicord lesion will most likely result in contralateral corticospinal tract involvement, leading to weakness on the opposite side of the body.
Answer: (C)",C
"Explanation: We refer to Wikipedia articles on medicine for help. The sudden onset of symptoms, auditory hallucinations, and the patient's behavior suggest a first episode of psychosis. Among the options, affective symptoms are a predictor of good prognosis in psychosis.
Answer: (A)",A
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's presentation with abdominal pain, hemodynamic instability, and evidence of hemoperitoneum on sonography suggests intra-abdominal bleeding. In this scenario, the best next step would be to proceed with an exploratory laparotomy to identify and control the source of bleeding.
Answer: (D)",D
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's history of dull, constant back pain that is worse at night, along with a history of lung cancer, raises suspicion for metastatic disease. The most likely imaging finding in this scenario would be lytic lesions of the lumbar spine, which are indicative of metastatic bone involvement.
Answer: (B)",B
"Explanation: We refer to Wikipedia articles on medicine for help. Metronidazole can inhibit aldehyde dehydrogenase, leading to the accumulation of acetaldehyde when alcohol is consumed. This accumulation of acetaldehyde causes the symptoms described.
Answer: (A) Acetaldehyde",A
"Explanation: We refer to Wikipedia articles on medicine for help. The absence of the sacrum and lumbar vertebrae, along with the other findings, suggests the condition is Caudal Regression Syndrome. Maternal diabetes is the strongest predisposing factor for this condition.
Answer: (C)",C
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's presentation is consistent with alcohol-related gastrointestinal bleeding leading to hypovolemic shock. In this scenario, the most likely decreased parameter compared to a healthy adult would be systemic vascular resistance due to vasodilation in response to hypovolemia.
Answer: (A)",A
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's presentation is consistent with hereditary spherocytosis, which is characterized by spherocytes on blood smear due to the loss of membrane surface area. 
Answer: (C) Spherocytes",C
"Explanation: We refer to Wikipedia articles on medicine for help. A whistling noise during respiration after rhinoplasty is most likely due to a septal perforation caused by a septal hematoma. This perforation can create turbulent airflow and produce the whistling sound.
Answer: (B)",B
"Explanation: In statistical hypothesis testing, a Type 1 error occurs when the null hypothesis is true, but it is incorrectly rejected. In this context, if the authors had encountered a Type 1 error, it would mean that they incorrectly concluded that mepolizumab significantly reduced asthma exacerbations and improved asthma control when, in fact, it did not. Therefore, the correct statement is:
(A) A type 1 error occurs when the null hypothesis is true but is rejected in error.",
"Explanation: We refer to Wikipedia articles on medicine for help. The symptoms described, including lip smacking, pursing, and excessive blinking, are characteristic of tardive dyskinesia, which is a side effect of long-term antipsychotic medication use, such as haloperidol.
Answer: (A)",A
"Explanation: We refer to Wikipedia articles on medicine for help. The child's presentation is concerning for physiological genu varum, which is common in toddlers and usually resolves by age 3. The appropriate next step is reassurance and follow-up.
Answer: (B) Reassurance and follow-up",B
"Explanation: We refer to Wikipedia articles on medicine for help. High-dose niacin can cause flushing as a side effect, which is mediated by the release of prostaglandins. Aspirin is often recommended to reduce this side effect.
Answer: (B)",B
"Explanation: We refer to Wikipedia articles on medicine for help. The medication described is nitroprusside, which causes vasodilation by increasing cGMP in vascular smooth muscle. This would lead to decreased systemic vascular resistance and decreased afterload, resulting in decreased left ventricular end-diastolic pressure and decreased pulmonary capillary wedge pressure.
Answer: (D) Decreased pulmonary capillary wedge pressure",D
"Explanation: We refer to Wikipedia articles on medicine for help. Cilostazol is a phosphodiesterase inhibitor, which helps in vasodilation and antiplatelet effects, improving symptoms in peripheral artery disease.
Answer: (D)",D
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's symptoms of pain traveling down the leg, described as ""electrical,"" are suggestive of sciatica. The straight leg raise test is commonly used to confirm the diagnosis of sciatica.
Answer: (B)",B
"Explanation: We refer to Wikipedia articles on medicine for help. Since the woman's brother has the disease, it is most likely an autosomal recessive disorder. In autosomal recessive disorders, both parents are carriers. Therefore, the woman has a 50% chance of being a carrier.
Answer: (D)",D
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's presentation with muscle rigidity and hyperthermia after a history of belligerent behavior and unconsciousness suggests a diagnosis of malignant hyperthermia. The best next step in management for malignant hyperthermia is to administer dantrolene, which is a muscle relaxant that acts on the sarcoplasmic reticulum to prevent calcium release and treat the hypermetabolic state.
Answer: (B) Dant",B
"Explanation: We refer to Wikipedia articles on medicine for help. The mid-systolic murmur radiating to the carotids suggests aortic stenosis. When the patient stands up, there will be a reduction in diastolic filling time due to decreased venous return.
Answer: (D)",D
"Explanation: We refer to Wikipedia articles on medicine for help. Given the patient's presentation with hip pain and suspicion of sarcoidosis, the most sensitive test for this condition would be an MRI of the hip, as it can provide detailed images of soft tissues and bones, helping to identify any abnormalities.
Answer: (A) MRI of the hip",A
"Explanation: We refer to Wikipedia articles on medicine for help. The patient is hypoxic with an oxygen saturation of 73% despite being on a non-rebreather mask with 100% FiO2. The next best step in management would be to reintubate the patient to secure the airway and provide adequate oxygenation.
Answer: (C) Reintubate",C
"Explanation: We refer to Wikipedia articles on medicine for help. Among the options, Peroxisome proliferator-activated receptor gamma (PPAR-gamma) is a nuclear receptor that plays a key role in regulating glucose and lipid metabolism and can increase insulin sensitivity.
Answer: (D)",D
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's symptoms, including arm pain, gastrointestinal issues, and a history of multiple ER visits with similar complaints, suggest somatization disorder, where psychological distress manifests as physical symptoms.
Answer: (C)",C
"Explanation: We refer to Wikipedia articles on medicine for help. The patient is presenting with epistaxis (nosebleed). The initial management for anterior epistaxis is to apply pressure by squeezing the nostrils manually for 10 minutes with the head elevated.
Answer: (D)",D
"Explanation: We refer to Wikipedia articles on medicine for help. The patient has a positive RPR and FTA-ABS, indicating syphilis. Since there is no evidence of neurosyphilis, the appropriate treatment is to treat with three weekly injections of penicillin and obtain titers in 3 months.
Answer: (B)",B
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's presentation is consistent with bulimia nervosa, which can lead to erosion of tooth enamel due to repeated exposure to gastric acid during purging episodes.
Answer: (C) Erosion of tooth enamel",C
"Explanation: We refer to Wikipedia articles on medicine for help. According to ACGME guidelines, residents can work up to 80 hours per week, averaged over a four-week period, including all in-house call activities and external moonlighting. The resident in question is currently working 70 hours per week (60 hours in residency + 10 hours external), which is within the limit of 80 hours per week.
Answer: (D) He may work up to 20 more hours",D
"Explanation: We refer to Wikipedia articles on medicine for help. The drug administered one week before the menstrual cycle suggests it could be Clomiphene, commonly used to treat infertility in women with polycystic ovarian syndrome. If administered differently, it can also be used to treat prostate cancer.
Answer: (D)",D
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's symptoms and lab values suggest hypercalcemia, which can be caused by hyperparathyroidism. The best long-term prophylaxis for hyperparathyroidism is surgical removal of the parathyroid gland causing the issue.
Answer: None of the options provided are the best long-term prophylaxis for hyperparathyroidism.",o
"Explanation: We refer to Wikipedia articles on medicine for help. The symptoms described suggest physiological jaundice, which is common in newborns due to the breakdown of fetal red blood cells. The best treatment for physiological jaundice in a newborn is to continue normal breastfeeding, as this helps with the excretion of bilirubin.
Answer: (D) Continue normal breastfeeding",D
"Explanation: We refer to Wikipedia articles on medicine for help. The symptoms and laboratory findings suggest a pheochromocytoma, which is commonly associated with Multiple Endocrine Neoplasia (MEN) 2A.
Answer: (B) Multiple endocrine neoplasia (MEN) 2A",B
"Explanation: We refer to Wikipedia articles on medicine for help. An odds ratio of 2.1 with a confidence interval of 0.9–9.7 indicates that the association between low education and the risk of MI is not statistically significant, as the confidence interval includes 1. Therefore, the correct inference is that the association is not statistically significant, and low education is not a risk factor.
Answer: (A)",A
"Explanation: We refer to Wikipedia articles on medicine for help. The widened mediastinum and the mechanism of injury suggest thoracic aortic rupture.
Answer: (C)",C
"Explanation: We refer to Wikipedia articles on medicine for help. The symptoms described are consistent with right-sided heart failure, leading to an increase in capillary pressure, which causes fluid to leak out into the interstitial space, resulting in lower extremity edema.
Answer: (A)",A
"Explanation: We refer to Wikipedia articles on medicine for help. The presentation suggests a molar pregnancy, which is a type of gestational trophoblastic disease. The genotype of the substance aspirated by dilation and evacuation in a complete mole is 46XX.
Answer: (D)",D
"Explanation: We refer to Wikipedia articles on medicine for help. Thalassemia intermedia is characterized by microcytic red blood cells. This is due to the decreased translation of Beta-globin mRNA, leading to abnormal hemoglobin production.
Answer: (C) Microcytic red blood cells",C
"Explanation: We refer to Wikipedia articles on medicine for help. The vascular structure most likely to be injured at the level of L3 is the Inferior vena cava.
Answer: (A)",A
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's symptoms and positive anti-Ro and anti-La autoantibodies suggest Sjögren's syndrome. Patients with Sjögren's syndrome have an increased risk of developing Non-Hodgkin lymphoma.
Answer: (B)",B
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's symptoms, including heart palpitations, chest pain, tremor, and signs of hyperthyroidism, suggest a diagnosis of atrial fibrillation with hyperthyroidism. Propranolol is a beta-blocker that can help control heart rate and symptoms in this case.
Answer: (A) Propranolol",A
"Explanation: We refer to Wikipedia articles on medicine for help. Conjugation with a protein carrier provides effective protection to infants by enhancing the immune response, especially in young children who have an immature immune system.
Answer: (D)",D
"Explanation: We refer to Wikipedia articles on medicine for help. Given the patient's history of diabetes and hypertension, the most likely medication added to his regimen is Hydrochlorothiazide, a diuretic commonly used to treat hypertension. Lower extremity swelling can be a side effect of this medication.
Answer: (D)",D
"Explanation: We refer to Wikipedia articles on medicine for help. The patient is experiencing symptoms of hypoglycemia during sleep. The optimal intervention for this patient would be to reduce the daily insulin dose to prevent further episodes of hypoglycemia.
Answer: (D)",D
"Explanation: We refer to Wikipedia articles on medicine for help. Decreased renal blood flow due to renal artery occlusion will lead to activation of the renin-angiotensin-aldosterone system. This will cause hyperplasia of juxtaglomerular cells.
Answer: (A)",A
"Explanation: We refer to Wikipedia articles on medicine for help. The description of the infant's condition with loops of intestine protruding out of the abdomen on the right side is consistent with gastroschisis, a congenital malformation. The most appropriate next step in management for gastroschisis is to transfer the newborn for immediate surgery to repair the defect.
Answer: (D)",D
"Explanation: We refer to Wikipedia articles on medicine for help. Vincristine acts by inhibiting beta-tubulin polymerization, leading to disruption of microtubule formation and function. This mechanism is associated with peripheral neuropathy.
Answer: (A)",A
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's history of mental retardation, diabetes, and the presence of symmetric swelling and deformities of the hands suggest that the most likely risk factor predisposing the patient to this condition is Down syndrome.
Answer: (C)",C
