Predicted String,Extracted Option
"Explanation: Based on the patient's symptoms and laboratory results, the most likely diagnosis is Dengue fever. The patient's fever, headache, malaise, and muscle and joint pain are consistent with Dengue fever. The maculopapular rash on the trunk and upper thighs is also typical of the disease. The patient's recent travel to Vietnam and Cambodia also increases the likelihood of D",
"Explanation: Based on the laboratory values and symptoms presented, the most likely underlying etiology of the patient's hypertension is (B) Catecholamine-secreting mass. The elevated BUN and normal electrolyte levels suggest that the hypertension is likely caused by a pheochromocytoma, a rare tumor that produces catecholamines.

The other options are less likely:",
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's history of postcoital vaginal bleeding and intermenstrual watery, blood-tinged vaginal discharge, along with the pelvic examination finding of a polypoid mass on the anterior wall of the vagina, suggest endometrial carcinoma. The patient's history of diethylstilbestrol exposure in the 1960",
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's infection with a gram-positive cocci, which is resistant to dicloxacillin, explains the failure to improve with antibiotic therapy.
Answer: (B) Ability to cleave β-lactam rings",B
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's symptoms, laboratory results, and medical history are consistent with hepatic encephalopathy, a complication of liver cirrhosis.

Answer: (B) It is a diagnosis of exclusion",B
"Explanation: The patient's symptoms of excessive fatigue, weakness, abdominal pain, and constipation, along with the recent weight loss, suggest that he may have an adrenal insufficiency. The bronze discoloration of the skin, also known as Addison's disease, is a common symptom of this condition.

The next best step in the management of this patient would be to order an ACTH stimulation test",
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's history of smoking and occupation increase the likelihood of a diagnosis of oral squamous cell carcinoma. The location of the ulcer near the vermillion border is also consistent with this diagnosis.
Answer: (A) Squamous cell carcinoma",A
"Based on the symptoms and laboratory results provided, the most appropriate therapy for this patient is (C) Amitriptyline.

The patient is experiencing severe muscle and joint pain, fatigue, and a tingling sensation in her lower limbs, which are all consistent with fibromyalgia. Fibromyalgia is a chronic pain disorder characterized by widespread musculoskeletal pain, fatigue,",
"Explanation: A hemicord lesion at the C5 level is consistent with a cervical spinal cord injury, which can cause weakness or paralysis on one side of the body. The most likely finding in this patient is (A) Spastic paralysis at the level of the lesion.

Answer: (A) Spastic paralysis at the level of lesion",A
"Explanation: We refer to the Diagnostic and Statistical Manual of Mental Disorders (DSM-5) for help. The patient's symptoms suggest possible delusional disorder, and the fact that he is alert and oriented to time, person, and place, and has an intact long-term and short-term memory, supports this diagnosis.

According to the DSM-5, the following are predictors of good progn",
"Explanation: The patient's symptoms and signs suggest a possible ruptured abdominal organ, likely a spleen or liver, and emergency surgery is warranted. The best next step is (B) CT abdomen and pelvis, which can help identify the location and extent of the bleeding and guide further management.

Answer: (B) CT abdomen and pelvis",B
"Explanation: Based on the patient's symptoms and medical history, the most likely imaging finding is (B) Lytic lesions of the lumbar spine. The patient's subacute back pain and point tenderness along the lumbosacral area are consistent with a lumbar spine lesion. Lytic lesions are a common finding in cancer that has metastasized to the bone, and the patient's history of",
"Explanation: We refer to Wikipedia articles on medicine for help. The symptoms the patient experiences after consuming alcohol, such as facial flushing, nausea, tachycardia, dyspnea, headache, and abdominal cramps, are consistent with alcohol-induced delirium tremens (DTS). Alcohol metabolism is mediated by cytochrome P-450 enzymes, which are responsible",
"Explanation: We refer to Wikipedia articles on medicine for help. The absence of the sacrum and lumbar vertebrae is a characteristic feature of Turner Syndrome, which is caused by monosomy of chromosome 18.
Answer: (D) Chromosome 18 trisomy",D
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's symptoms and physical examination findings suggest acute alcohol poisoning. The decreased radial pulses, delayed capillary refill, and distended abdomen are consistent with dehydration and hypovolemia, which can occur due to excessive alcohol consumption. The other options are not directly related to the patient's condition.
Answer: (A",A
"Explanation: Based on the patient's symptoms and laboratory results, it is likely that the patient has hemolytic anemia. The increased reticulocytosis and RDW, as well as the indirect hyperbilirubinemia, are consistent with this diagnosis. The osmotic fragility test also supports the diagnosis of hemolytic anemia.

On a blood smear, the most likely finding would be spherocytes,",
"Explanation: We refer to Wikipedia articles on medicine for help. The symptom of a small whistling noise when respiring through the nose is most likely caused by (C) A deviated septum that is now straight, resulting in altered nasal airflow. This is because a deviated septum can cause changes in the way air flows through the nose, leading to unusual noises.
Answer: (C)",C
"Based on the information provided in the original research abstract, it is possible that the authors had inadvertently encountered a type 1 error. A type 1 error occurs when the null hypothesis is rejected when it is actually true, and this can happen if the study has too much power (i.e., a high alpha level).

There are several reasons why the authors may have encountered a type 1 error:

1. High alpha level: The authors may have set",
"Explanation: We refer to Wikipedia articles on medicine for help. The symptoms described, such as lip smacking, pursed mouth, and excessive blinking, are consistent with tardive dyskinesia (TD), a side effect of long-term use of antipsychotic medications like haloperidol.
Answer: (A) Tardive dyskinesia",A
"Explanation: Based on the symptoms and medical history provided, the most appropriate next step in management is (C) X-ray of the lower extremities. The mother's concern about a growth disorder and the deformities in both legs suggest the possibility of a congenital or developmental disorder, which could be diagnosed through an X-ray.

The other options are not appropriate next steps in management:

* (A) Vitamin D supp",
"Explanation: Niacin, also known as vitamin B3, can cause flushing as a side effect when taken in high doses. This side effect is thought to be mediated by the release of prostaglandins, which are pro-inflammatory mediators that cause blood vessels to dilate and lead to flushing.

Answer: (B) Release of prostaglandins",B
"Explanation: We refer to Wikipedia articles on medicine for help. The medication used to treat the patient's hypertensive emergency is nitroglycerin, which works by releasing nitric oxide as a metabolite and increasing cGMP production in vascular smooth muscle. The expected clinical effect of nitroglycerin administration is a decrease in pulmonary capillary wedge pressure.
Answer: (D)",D
"Explanation: Cilostazol is a phosphodiesterase inhibitor that specifically targets the cGMP-specific phosphodiesterase type 3 (PDE3) enzyme. This enzyme is involved in the degradation of cyclic guanosine monophosphate (cGMP), which is an important molecule involved in the regulation of blood flow. By inhibiting PDE3, cilostazol",
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's symptoms of electrical pain in the lower back and down the leg, along with a history of obesity and diabetes, suggest the possibility of peripheral neuropathy. Straight leg raise (B) is a common test used to diagnose sciatica, which is a common symptom of peripheral neuropathy.
Answer: (B) Straight leg",B
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's brother has a 50% chance of being a carrier of the disease, as it is an autosomal dominant disorder.
Answer: (D) 50%",D
